2019-04-08 19:17:42,913; 14334; 139802114495488; DEBUG; views; Send money request. sender: 8c82c0e8-9d65-4332-b481-803a8f654bfc, amount: 1.55, recipient: 8c82c0e8-9d65-4332-b481-803a8f654bf6)
2019-04-08 19:17:42,918; 14334; 139802114495488; DEBUG; views; Recipient lemit exceed: 8c82c0e8-9d65-4332-b481-803a8f654bf6 100.0 101.55)
2019-04-08 19:17:46,423; 14335; 139802114495488; DEBUG; views; Send money request. sender: 8c82c0e8-9d65-4332-b481-803a8f654bfc, amount: 1.55, recipient: 8c82c0e8-9d65-4332-b481-803a8f654bf2)
2019-04-08 19:17:49,064; 14338; 139802114495488; DEBUG; views; Send money request. sender: 8c82c0e8-9d65-4332-b481-803a8f654bfc, amount: 1.55, recipient: 8c82c0e8-9d65-4332-b481-803a8f654bf2)
2019-04-08 19:17:50,604; 14334; 139802114495488; DEBUG; views; Send money request. sender: 8c82c0e8-9d65-4332-b481-803a8f654bfc, amount: 1.55, recipient: 8c82c0e8-9d65-4332-b481-803a8f654bf2)
2019-04-08 19:22:13,586; 14485; 140647000998912; DEBUG; views; Send money request. sender: 8c82c0e8-9d65-4332-b481-803a8f654bfc, amount: 10000.55, recipient: 8c82c0e8-9d65-4332-b481-803a8f654bf2)
2019-04-08 19:22:13,589; 14485; 140647000998912; DEBUG; views; Sender balance exceed: 8c82c0e8-9d65-4332-b481-803a8f654bfc 704.75 10000.55)
2019-04-08 19:31:15,280; 14940; 139791302419456; DEBUG; views; Send money request. sender: 8c82c0e8-9d65-4332-b481-803a8f654bfc, amount: 10000.55, recipient: 8c82c0e8-9d65-4332-b481-803a8f654bf2, ip: 127.0.0.1)
2019-04-08 19:31:15,285; 14940; 139791302419456; DEBUG; views; Sender balance exceed: 8c82c0e8-9d65-4332-b481-803a8f654bfc 704.75 10000.55)
2019-04-08 20:09:53,533; 16633; 140524153590784; DEBUG; views; Send money request. sender: 8c82c0e8-9d65-4332-b481-803a8f654bfc, amount: -1.0, recipient: 8c82c0e8-9d65-4332-b481-803a8f654bf2, ip: 127.0.0.1)
2019-04-08 20:09:53,551; 16633; 140524153590784; DEBUG; views; Transaction is created: trid=9, sender=1, recipient=2, amount=-1.0)
2019-04-08 20:10:15,671; 16633; 140524153590784; DEBUG; views; Wallet balance request: 8c82c0e8-9d65-4332-b481-803a8f654bfc 127.0.0.1)
2019-04-08 20:10:18,469; 16632; 140524153590784; DEBUG; views; Send money request. sender: 8c82c0e8-9d65-4332-b481-803a8f654bfc, amount: -1.0, recipient: 8c82c0e8-9d65-4332-b481-803a8f654bf2, ip: 127.0.0.1)
2019-04-08 20:10:18,491; 16632; 140524153590784; DEBUG; views; Transaction is created: trid=10, sender=1, recipient=2, amount=-1.0)
2019-04-08 20:10:20,032; 16632; 140524153590784; DEBUG; views; Wallet balance request: 8c82c0e8-9d65-4332-b481-803a8f654bfc 127.0.0.1)
2019-04-08 20:10:41,166; 16631; 140524153590784; DEBUG; views; Send money request. sender: 8c82c0e8-9d65-4332-b481-803a8f654bfc, amount: -100.0, recipient: 8c82c0e8-9d65-4332-b481-803a8f654bf2, ip: 127.0.0.1)
2019-04-08 20:10:41,187; 16631; 140524153590784; DEBUG; views; Transaction is created: trid=11, sender=1, recipient=2, amount=-100.0)
2019-04-08 20:10:42,398; 16633; 140524153590784; DEBUG; views; Wallet balance request: 8c82c0e8-9d65-4332-b481-803a8f654bfc 127.0.0.1)
2019-04-08 20:13:19,597; 16975; 140596994896896; DEBUG; views; Send money request. sender: 8c82c0e8-9d65-4332-b481-803a8f654bfc, amount: 100.0, recipient: 8c82c0e8-9d65-4332-b481-803a8f654bf9, ip: 127.0.0.1)
2019-04-08 20:20:00,194; 17621; 140617064371200; DEBUG; views; Send money request. sender: 8c82c0e8-9d65-4332-b481-803a8f654bfc, amount: 100.0, recipient: 8c82c0e8-9d65-4332-b481-803a8f654bf9, ip: 127.0.0.1)
2019-04-08 20:20:00,199; 17621; 140617064371200; DEBUG; views; Recipient not found: 8c82c0e8-9d65-4332-b481-803a8f654bf9)
2019-04-08 20:20:13,774; 17621; 140617064371200; DEBUG; views; Send money request. sender: 8c82c0e8-9d65-4332-b481-803a8f654bfc, amount: 100.0, recipient: 8c82c0e8-9d65-4332-b481-803a8f654bf2, ip: 127.0.0.1)
2019-04-08 20:20:13,790; 17621; 140617064371200; DEBUG; views; Transaction is created: trid=12, sender=1, recipient=2, amount=100.0)
2019-04-08 20:20:19,077; 17621; 140617064371200; DEBUG; views; Wallet balance request: 8c82c0e8-9d65-4332-b481-803a8f654bfc 127.0.0.1)
